,Address,Name Tag,Balance,Txn Count
0,0xcc80c051057b774cd75067dc48f8987c4eb97a5e,Ethfinex: Nectar Token,0 ETH,6021
1,0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,Rhino.fi,264.80352286 ETH,18899
2,0x5d22045daceab03b158031ecb7d9d06fad24609b,Rhino.fi: Bridge,"1,371.98740533 ETH",17199
3,0xd924bdd6fa7fd3d0eb1337853a814a4263dcbfe8,Rhino.fi: OTC,1.450905 ETH,974
4,0x325870cb1c06c3a619e461425712248fe269afca,DeversiFi: Deployer,0.0007554 ETH,60
5,0x28780349a33eee56bb92241baab8095449e24306,Rhino.fi: Committee,0 ETH,2018
6,0xc3ca38091061e3e5358a52d74730f16c60ca9c26,Rhino.fi: Transfer Proxy,0 ETH,9465
7,0x61b9898c9b60a159fc91ae8026563cd226b7a0c1,DeversiFi: Old Address,0.19136472 ETH,29046
8,0xdcdb42c9a256690bd153a7b409751adfc8dd5851,Ethfinex: Old Contract,0 ETH,10685
9,0xbaea5bc6568dcb1f1c5aa24223a47333a6b3a8f5,Ethfinex: Old Contract 2,0.5011714 ETH,58
10,0x93dc6a333a99c0ede1cd346ccf079ea8451013db,Ethfinex: Old Contract 3,0.00008 ETH,32
