,Address,Name Tag,Balance,Txn Count
0,0x7537b8914d96f44c58d700e6be6b97be05afb3df,Bancor Network: bnDUSK Token,0 Ether,0
1,0xa0b0f11d342fa5f6c5ed54a9a14013b498f2dc99,Bancor Network: bnDXD Token,0 Ether,0
2,0xbb200f245d8e8a29ddf9b3899c29ebea565852a9,Bancor Network: bnDYDX Token,0 Ether,3
3,0x3ed1907d74d083a9213497a14329a82ff5d2cfeb,Bancor Network: bnEDEN Token,0 Ether,3
4,0x46336156b4f150ef21d01a052cf8017b9d6ed965,Bancor Network: bnELF Token,0 Ether,0
5,0x9250fd963a7c7d23a1e5ca9ade6c43cf5e846b20,Bancor Network: bnENJ Token,0 Ether,67
6,0xe875c8b32c0187598a62091f8262a2bf2973c85b,Bancor Network: bnENS Token,0 Ether,3
7,0x4e96c8a57bcdf31d9c89b3dc9ada6809050863d1,Bancor Network: bneRSDL Token,0 Ether,9
8,0xf83d4d92ca8f75a7dee85e6434a2e231f23261fd,Bancor Network: bnEWTB Token,0 Ether,4
9,0x4e9a47aa88dea5902001748a21869de19992643e,Bancor Network: bnFARM Token,0 Ether,1
10,0xc2409e2562003254034630f80127703bec977685,Bancor Network: bnFODL Token,0 Ether,0
11,0x8a8cf4809155f260c6af61aa8cfe8b55789cf94d,Bancor Network: bnFOX Token,0 Ether,0
12,0x261191f870f8e6b3c433c9705d99f32b1692a063,Bancor Network: bnFRM Token,0 Ether,1
13,0xf0d74eaa60466112c9e496ad0ba47efbcbc8b568,Bancor Network: bnFTT Token,0 Ether,1
14,0xad6dd99514366c1a1388a104861848b2971eeebe,Bancor Network: bnFXS Token,0 Ether,3
15,0x79a000c4ad48cbe047efe319a7e2849b66ee1fb3,Bancor Network: bnGNO Token,0 Ether,0
16,0x0c39c7f6b24ed0e30b453b83cf5d4cf2c5bd3a9e,Bancor Network: bnGRT Token,0 Ether,19
17,0xe135d86fac3838bb47690cc2d913b1264e9a3a57,Bancor Network: bnGTC Token,0 Ether,2
18,0xb01bb3d358e50c8e2016f85e4935bc4d1273c483,Bancor Network: bnGUSD Token,0 Ether,0
19,0x5f2e01fb817ba54cb3df96d8c9be51071f3f7dfc,Bancor Network: bnHEGIC Token,0 Ether,0
20,0x70a7e8c220aafd32ad280d6f666b9ffdf10fbb1e,Bancor Network: bnHOT Token,0 Ether,2
21,0x402985c23aa04db5b5eda40e53dc3fb55679e56a,Bancor Network: bnHY Token,0 Ether,0
22,0x36fabe4caef8c190550b6f93c306a5644e7dcef6,Bancor Network: bnICHI Token,0 Ether,16
23,0x700616e07ed859231562304a5eb58b498e231b43,Bancor Network: bnIDLE Token,0 Ether,1
24,0x1cb8630bbb5d3d693a208d45c450dd6ea56c0d42,Bancor Network: bnINDEX Token,0 Ether,7
25,0x86284e900e93748a52d86153ce7b25fabd04308c,Bancor Network: bnINST Token,0 Ether,0
26,0x71d2beb87f0b4f67cc5f2014d6db0d5b160dbff7,Bancor Network: bnKNC Token,0 Ether,0
27,0xaefc24b05099170d5981c1ed741d288eb6b2c578,Bancor Network: bnKTN Token,0 Ether,1
28,0x5d74b268d60d70cb35487f8c7a2def58c13b5a36,Bancor Network: bnLPL Token,0 Ether,29
29,0xcf7b9dee192f1051c1110c4a97c2899f25e182dc,Bancor Network: bnLQTY Token,0 Ether,1
30,0xff76ddaac3801220eefd4cf222d0bbb718814151,Bancor Network: bnLRC Token,0 Ether,5
31,0x3b99d8037c32b908504552af3badea2918c3c8ff,Bancor Network: bnLYRA Token,0 Ether,1
32,0xd56410dbb0e148a7d8476a169f9afe715e315bb9,Bancor Network: bnMANA Token,0 Ether,7
33,0xe072a0240b3fd65fd710b3476e642369066a19da,Bancor Network: bnMASK Token,0 Ether,0
